Show Name	Keyword	minp	maxp	tag
Organza Bridesmaid Dresses	organza bridesmaid dresses	0		Bridesmaid Dresses;Organza
Amazing Wedding Gowns	amazing wedding gowns	0		Bridal Gowns;Gorgeous
Amazing Wedding Dress	amazing wedding dress	0		Bridal Gowns;Gorgeous
Most Amazing Wedding Dresses	most amazing wedding dresses	0		Bridal Gowns;Gorgeous
Bohemian Wedding Dress	bohemian wedding dress	0		Bridal Gowns;Bohemian
Strapless Wedding Dress	strapless wedding dress	0		Bridal Gowns;Bridesmaid Dresses;Flower Girl Dresses;Mother of the Bride Dresses;Wedding Guest Dresses;Strapless
Wedding Dress Lace	wedding dress lace	0		Bridal Gowns;Lace
Long Sleeve Wedding Dress	long sleeve wedding dress	0		Bridal Gowns;Long Sleeve
Cheap Lace Wedding Dresses	cheap lace wedding dresses	0		Bridal Gowns;Lace
Elegant Wedding Dress	elegant wedding dress	0		Bridal Gowns;Elegant
Strapless Lace Wedding Dresses	strapless lace wedding dresses	0		Bridal Gowns;Strapless;Lace
Long Sleeve Lace Wedding Dresses	long sleeve lace wedding dresses	0		Bridal Gowns;Long Sleeve;Lace
Wedding Dresses with Prices	wedding dresses with prices	0		Bridal Gowns
Sleeve Wedding Dresses	sleeve wedding dresses	0		Bridal Gowns;Short Sleeve;Elbow Length Sleeve;"3/4 Length Sleeve";Long Sleeve
Find Wedding Dress	find wedding dress	0		Bridal Gowns
Sleeve Wedding Dress	sleeve wedding dress	0		Bridal Gowns;Short Sleeve;Elbow Length Sleeve;"3/4 Length Sleeve";Long Sleeve
Long Sleeve Wedding Gowns	long sleeve wedding gowns	0		Bridal Gowns;Long Sleeve
Backless Wedding Gowns	backless wedding gowns	0		Bridal Gowns;Backless
Short Sleeve Wedding Dress	short sleeve wedding dress	0		Bridal Gowns;Short Sleeve
Wedding Dress for Less	wedding dress for less	0		Bridal Gowns
a Line Bridal Gown	a line bridal gown	0		Bridal Gowns;A-Line
a Line Bridal Dress	a line bridal dress	0		Bridal Gowns;A-line
a Line Dress	a line dress	0		A-line
Plus Bridal Gown	plus bridal gown	0		Bridal Gowns;Plus Size
Bridal Gowns a Line	bridal gowns a line	0		Bridal Gowns;A-line
a Line Wedding Gowns	a line wedding gowns	0		Bridal Gowns;A-line
Mermaid Bridal Gown	mermaid bridal gown	0		Bridal Gowns;Mermaid
Plus Size Bridal Gowns Cheap	plus size bridal gowns cheap	0		Bridal Gowns;Plus Size
Full Length Dresses	full length dresses	0		Long Sleeve
Bridal Ball Gown Dresses	bridal ball gown dresses	0		Bridal Gowns;Ball Gown
Ball Gown Bridal Gowns	ball gown bridal gowns	0		Bridal Gowns;Ball Gown
Bridal Gowns Ball Gown	bridal gowns ball gown	0		Bridal Gowns;Ball Gown
a Line Evening Gowns	a line evening gowns	0		Evening Dresses;A-line
