8	Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress	Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress - US$161.99	Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress is US$161.99 for sale on 9dresses.com. It's Sheath, Chiffon, Sweep Train, Jewel, can be a Evening Dress, Homecoming Dress, Prom Dress.	D78134	55.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Chiffon, Elastic Woven Satin <br><b>Hemline/Train: </b>Sweep Train, Brush Train <br><b>Embellishment: </b>Beading, Rhinestone, Ruffles, Jewel <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Formal Evening, Prom, Homecoming <br><b>Body Shape: </b>Full Figure, Petite, Apple, Inverted Triangle, Rectangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Casual, Modern, Sexy, Hawaiian, Informal, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column Strapless Sleeveless Zip up Elastic Woven Satin Sweep Train Jewel with Empire waistline	359.98	161.99
9	Modest Mini Sheath Satin Halter Prom Dress	Modest Mini Sheath Satin Halter Prom Dress - US$134.89	Modest Mini Sheath Satin Halter Prom Dress at a discount price - US$134.89 on 9dresses.com. It's Column, Satin, Mini, can be a Prom Dress.	D64187	50.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Halter <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b><br><b>Waistline: </b>Natural <br><b>Occasion: </b>Prom <br><b>Body Shape: </b>Hourglass, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Elegant, Sexy, Simple, Plain, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column Halter Sleeveless Zipper Satin Mini with Natural waistline	269.78	134.89
20	Modest Rhinestone Zip up Satin Strapless Court Train Wedding Guest Dress	Modest Rhinestone Zip up Satin Strapless Court Train Wedding Guest Dress - US$158.49	Modest Rhinestone Zip up Satin Strapless Court Train Wedding Guest Dress at a discount price - US$158.49 on 9dresses.com. It's Fishtail, Satin, Court Train, Rhinestone, can be a Wedding Guest Dress, Prom Dress.	D37442	65.0	<b>Silhouette: </b>Fishtail <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Court Train <br><b>Embellishment: </b>Rhinestone <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Prom, Wedding Party <br><b>Body Shape: </b>Hourglass, Rectangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Elegant, Gorgeous, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.50Kg<br><b>Shown Color: </b>Red	Fishtail Strapless Sleeveless Zip up Satin Court Train Rhinestone with Natural waistline	452.83	158.49
28	Hawaiian One Shoulder Satin Short Rhinestone Sheath Cocktail Dress	Hawaiian One Shoulder Satin Short Rhinestone Sheath Cocktail Dress - US$106.49	Hawaiian One Shoulder Satin Short Rhinestone Sheath Cocktail Dress at a discount price - US$106.49 on 9dresses.com. It's Column, Satin, Short, Rhinestone, can be a Cocktail Dress, Homecoming Dress, Little Black Dress, Prom Dress.	D69670	70.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>One Shoulder, Asymmetric Neckline <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Beaded, Rhinestone <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Cocktail, Prom, Homecoming <br><b>Body Shape: </b>Hourglass, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Casual, Modern, Sexy, Hawaiian, Informal, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg<br><b>Shown Color: </b>Black	Sheath Asymmetric Neckline Sleeveless Zipper Satin Mini Beaded with Natural waistline	354.97	106.49
51	Gorgeous Elastic Woven Satin Sweetheart Sleeveless Floor Length Criss-cross Straps Prom Dress	Gorgeous Elastic Woven Satin Sweetheart Sleeveless Floor Length Criss-cross Straps Prom Dress - US$139.99	Gorgeous Elastic Woven Satin Sweetheart Sleeveless Floor Length Criss-cross Straps Prom Dress is US$139.99 for sale on 9dresses.com. It's A-line, Elastic Woven Satin, Floor Length, Appliques, can be a Prom Dress.	D98469	45.0	<b>Silhouette: </b>A-line <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Criss-cross Straps <br><b>Fabric: </b>Tulle, Elastic Woven Satin <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Ruffles <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Prom <br><b>Body Shape: </b>Full Figure, Petite, Pear, Apple, Inverted Triangle, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Gorgeous, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	A-line Sweetheart Sleeveless Criss-cross Straps Elastic Woven Satin Floor Length Appliques with Empire waistline	254.53	139.99
57	Casual Thick Straps Baby Doll Zipper Rhinestone Tulle Homecoming Dress	Casual Thick Straps Baby Doll Zipper Rhinestone Tulle Homecoming Dress - US$107.49	Casual Thick Straps Baby Doll Zipper Rhinestone Tulle Homecoming Dress at a discount price - US$107.49 on 9dresses.com. It's Baby Doll, Elastic Woven Satin, Short, Beaded, can be a Homecoming Dress, Prom Dress.	D95410	55.0	<b>Silhouette: </b>Baby Doll <br><b>Neckline: </b>Thick Straps <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Tulle, Elastic Woven Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Beaded, Rhinestone <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Prom, Homecoming <br><b>Body Shape: </b>Full Figure, Petite, Apple, Inverted Triangle, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Casual, Sexy, Hawaiian, Informal, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Baby Doll Thick Straps Sleeveless Zipper Tulle Short Beaded with Empire waistline	238.87	107.49
64	Modest Sheath Sweetheart Sleeveless Mini Zip up Cocktail Dress	Modest Sheath Sweetheart Sleeveless Mini Zip up Cocktail Dress - US$106.99	Modest Sheath Sweetheart Sleeveless Mini Zip up Cocktail Dress at a discount price - US$106.99 on 9dresses.com. It's Sheath, Satin, Mini, Rhinestone, can be a Cocktail Dress, Little Black Dress.	D00841	60.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Sweetheart, Thick Straps <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Beaded, Rhinestone <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Cocktail <br><b>Body Shape: </b>Hourglass, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column Thick Straps Sleeveless Zipper Satin Mini Beaded with Natural waistline	267.48	106.99
85	Elegant Sleeveless Tulle Brush Train Backless Beaded Party Dress	Elegant Sleeveless Tulle Brush Train Backless Beaded Party Dress - US$190.49	Elegant Sleeveless Tulle Brush Train Backless Beaded Party Dress at a discount price - US$190.49 on 9dresses.com. It's Fit-n-Flare, Satin, Brush Train, Beaded, can be a Homecoming Dress, Party Dress, Prom Dress.	D93359	70.0	<b>Silhouette: </b>Trumpet, Fit-n-Flare <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless <br><b>Fabric: </b>Tulle, Satin <br><b>Hemline/Train: </b>Sweep Train, Brush Train <br><b>Embellishment: </b>Beaded <br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Prom, Party, Homecoming <br><b>Body Shape: </b>Hourglass <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Elegant, Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg<br><b>Shown Color: </b>White	Fit-n-Flare Strapless Sleeveless Backless Satin Brush Train Beaded with Dropped waistline	634.97	190.49
88	Glamorous Sleeveless Backless Elastic Woven Satin Strapless Mini Party Dress	Glamorous Sleeveless Backless Elastic Woven Satin Strapless Mini Party Dress - US$134.99	Glamorous Sleeveless Backless Elastic Woven Satin Strapless Mini Party Dress is US$134.99 for sale on 9dresses.com. It's Baby Doll, Tulle, Mini, Sequin, can be a Party Dress, Prom Dress.	D65162	50.0	<b>Silhouette: </b>Baby Doll <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Tulle, Elastic Woven Satin, Sequined <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Sequin, Paillette <br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Prom, Party <br><b>Body Shape: </b>Apple, Hourglass <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Glamorous, Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Baby Doll Strapless Sleeveless Lace up Elastic Woven Satin Mini Sequin with Dropped waistline	269.98	134.99
89	Modest Backless Satin Mini Tiered Sleeveless Club Dress	Modest Backless Satin Mini Tiered Sleeveless Club Dress - US$114.69	Modest Backless Satin Mini Tiered Sleeveless Club Dress at a discount price - US$114.69 on 9dresses.com. It's Sheath, Satin, Short, Tiered, can be a Club Dress.	D73508	55.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Square, Thick Straps <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Criss-cross Straps, Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b>Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Club <br><b>Body Shape: </b>Hourglass, Rectangle <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Sheath Thick Straps Sleeveless Zip up Satin Short Tiered with Natural waistline	254.87	114.69
90	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress - US$105.99	Sexy Satin Zipper Mini Sheath Short Sleeve Homecoming Dress is US$105.99 for sale on 9dresses.com. It's Column, Satin, Short, can be a Club Dress, Homecoming Dress.	D67277	55.0	<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>V-neck <br><b>Sleeve Length: </b>Short Sleeve <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Satin <br><b>Hemline/Train: </b>Mini, Short <br><b>Embellishment: </b><br><b>Waistline: </b>Dropped <br><b>Occasion: </b>Homecoming, Club <br><b>Body Shape: </b>Hourglass <br><b>Season: </b>Spring, Summer, Fall <br><b>Style: </b>Sexy, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Column V-neck Short Sleeve Zip up Satin Mini with Dropped waistline	235.53	105.99
114	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress - US$171.89	Gorgeous Rhinestone Lace up Lace Floor Length Ball Gown Quinceanera Dress at a discount price - US$171.89 on 9dresses.com. It's Ball Gown, Lace, Floor Length, Rhinestone, can be a Quinceanera Dress, Sweet 16 Dress.	D83670	65.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Sweetheart, Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Lace, Sequined <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Rhinestone, Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Gorgeous, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Sweetheart Sleeveless Backless Sequined Floor Length Rhinestone with Natural waistline	491.11	171.89
119	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress - US$157.69	Cinderella Lace Tiered Strapless Sleeveless Floor Length Sweet 16 Dress is US$157.69 for sale on 9dresses.com. It's Ball Gown, Taffeta, Floor Length, Rhinestone, can be a Quinceanera Dress, Sweet 16 Dress.	D00703	65.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless, Sweetheart <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Lace <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Rhinestone, Tiered <br><b>Waistline: </b>Natural <br><b>Occasion: </b>Sweet 16, Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Hourglass, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Disney Princess, Gorgeous, Cinderella, Fairytale, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Full Skirt Sweetheart Sleeveless Lace up Taffeta Floor Length Tiered with Natural waistline	450.54	157.69
129	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress - US$171.99	Gorgeous Floor Length Strapless Lace Lace up Sleeveless Quinceanera Dress is US$171.99 for sale on 9dresses.com. It's Full Skirt, Taffeta, Floor Length, Lace, can be a Quinceanera Dress.	D61142	55.0	<b>Silhouette: </b>Ball Gown, Full Skirt <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Backless, Lace up <br><b>Fabric: </b>Taffeta, Sequined <br><b>Hemline/Train: </b>Floor Length <br><b>Embellishment: </b>Appliques, Lace <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Quinceanera <br><b>Body Shape: </b>Apple, Inverted Triangle, Pear, Full Figure, Petite, Rectangle, Triangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Gorgeous, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg	Ball Gown Strapless Sleeveless Lace up Taffeta Floor Length Lace with Empire waistline	382.2	171.99
