sku,_store,_attribute_set,_type,_product_websites,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,discount,enable_googlecheckout,gallery,gift_message_available,has_options,is_imported,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,special_from_date,special_price,special_to_date,status,tax_class_id,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_category,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,image,image_label,small_image,small_image_label,thumbnail,thumbnail_label,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,back_details,body_shape,embellishment,fabric,hemline,neckline,season,silhouette,sleeve_length,sleeve_style,special_occasion_dresses,style,train,venues,waistline,wedding_dresses,colorchart,itemcode,sort_score,petticoat,showncolor
8,,Wedding,simple,base,China,2012-01-13 17:50:46,,,,,"<b>Silhouette: </b>Sheath, Column <br><b>Neckline: </b>Strapless <br><b>Sleeve Length: </b>Sleeveless <br><b>Back Details: </b>Zip up, Zipper <br><b>Fabric: </b>Chiffon, Elastic Woven Satin <br><b>Hemline/Train: </b>Sweep Train, Brush Train <br><b>Embellishment: </b>Beading, Rhinestone, Ruffles, Jewel <br><b>Waistline: </b>Empire <br><b>Occasion: </b>Formal Evening, Prom, Homecoming <br><b>Body Shape: </b>Full Figure, Petite, Apple, Inverted Triangle, Rectangle <br><b>Season: </b>Spring, Summer, Fall, Winter <br><b>Style: </b>Casual, Modern, Sexy, Hawaiian, Informal, Modest <br><b>Fully Lined: </b>Yes<br><b>Built-in Bra: </b>Yes<br><b>Shipping Weight: </b>1.00Kg",55.0,0,,,1,Yes,,"Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress is US$161.99 for sale on 9dresses.com. It's Sheath, Chiffon, Sweep Train, Jewel, can be a Evening Dress, Homecoming Dress, Prom Dress.",,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress - US$161.99,,,Use config,Use config,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress,,,Block after Info Column,,359.98,1,Column Strapless Sleeveless Zip up Elastic Woven Satin Sweep Train Jewel with Empire waistline,,,,1,4,2012-01-13 17:50:46,p/modest-zipper-rhinestone-chiffon-strapless-sheath-prom-dress-8,p/modest-zipper-rhinestone-chiffon-strapless-sheath-prom-dress-8.html,4,1.00,10000000,1,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,Homecoming Dresses,,drop_down,Color,1,,,0,1,Black,0,,1,/image/promdressshop/2011-Sherri-Hill-Homecoming/Prom-Dress-Sherri-Hill-2516.aspx/251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,/small/s_251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,/thumb/t_251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,80,/image/promdressshop/2011-Sherri-Hill-Homecoming/Prom-Dress-Sherri-Hill-2516.aspx/251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,1,0,Zip up,Petite,Ruffles,Chiffon,With a Train,Jewel,Fall,Empire,Sleeveless,,,Casual,Sweep/Brush Train,,Empire,,Chiffon,D78134,2,0,Royal Blue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Occasion Dresses,,,,,,,,,Blue,0,,2,,,,,,,80,/image/promdressshop/2011-Sherri-Hill-Homecoming/Prom-Dress-Sherri-Hill-2516.aspx/2516back12944187441.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-2,2,0,,Inverted Triangle,Sparkly,Elastic Woven Satin,,Strapless,Summer,Sheath/Column,,,,Hot/Sexy,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prom Dresses,,,,,,,,,Brown,0,,3,,,,,,,80,/small/s_251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,3,1,,Full Figure,Beaded,,,,Spring,,,,,Modest,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening Dresses,,,,,,,,,Burgundy,0,,4,,,,,,,80,/thumb/t_251612944184461.png,Modest Zipper Rhinestone Chiffon Strapless Sheath Prom Dress-1,4,1,,Apple,,,,,Winter,,,,,Fashion/Modern,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Champagne,0,,5,,,,,,,,,,,,,Rectangle,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolate,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Navy,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daffodil,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Green,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuchsia,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grape,0,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green,0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter,0,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
