100\\server2\Temp\zxs\520x800\1403-back1290551655.jpg	"256,022"	"9,289"	"10,820"	"13,448"	"19,025"
100\\server2\Temp\zxs\520x800\199491_2.jpg	"957,494"	"7,442"	"8,741"	"11,099"	"16,364"
100\\server2\Temp\zxs\520x800\199552_2.jpg	"985,608"	"5,951"	"6,787"	"8,272"	"11,606"
100\\server2\Temp\zxs\520x800\199557_1.jpg	"2,114,158"	"6,522"	"7,625"	"9,549"	"13,656"
100\\server2\Temp\zxs\520x800\200065_1.jpg	"197,438"	"8,319"	"9,752"	"12,181"	"17,356"
100\\server2\Temp\zxs\520x800\201697_2.jpg	"1,169,456"	"8,696"	"10,196"	"12,880"	"18,729"
100\\server2\Temp\zxs\520x800\201701_1.jpg	"393,571"	"9,164"	"10,736"	"13,516"	"19,349"
100\\server2\Temp\zxs\520x800\201709_4.jpg	"272,241"	"6,924"	"8,075"	"9,982"	"13,870"
100\\server2\Temp\zxs\520x800\201710_1.jpg	"521,590"	"10,107"	"11,717"	"14,492"	"20,355"
100\\server2\Temp\zxs\520x800\201711_1.jpg	"1,233,799"	"8,836"	"10,361"	"13,093"	"18,856"
100\\server2\Temp\zxs\520x800\201725_1.jpg	"478,726"	"9,459"	"11,013"	"13,684"	"19,303"
100\\server2\Temp\zxs\520x800\201725_3.jpg	"563,069"	"9,486"	"11,026"	"13,639"	"19,276"
100\\server2\Temp\zxs\520x800\201954_3.jpg	"499,385"	"9,826"	"11,566"	"14,365"	"20,214"
100\\server2\Temp\zxs\520x800\204111_1.jpg	"624,980"	"10,670"	"12,506"	"15,562"	"21,872"
100\\server2\Temp\zxs\520x800\204111_3.jpg	"687,924"	"10,374"	"12,176"	"15,214"	"21,434"
100\\server2\Temp\zxs\520x800\204118_3.jpg	"1,090,168"	"12,401"	"14,619"	"18,382"	"25,991"
100\\server2\Temp\zxs\520x800\204130_1.jpg	"893,162"	"6,000"	"6,928"	"8,606"	"12,196"
100\\server2\Temp\zxs\520x800\204171_2.jpg	"768,190"	"8,638"	"10,251"	"13,133"	"19,477"
100\\server2\Temp\zxs\520x800\204386_1.jpg	"324,777"	"10,094"	"11,605"	"14,218"	"19,835"
100\\server2\Temp\zxs\520x800\204393_4.jpg	"226,985"	"6,668"	"7,887"	"10,014"	"14,667"
100\\server2\Temp\zxs\520x800\204465_2.jpg	"107,534"	"8,076"	"9,513"	"11,923"	"16,981"
100\\server2\Temp\zxs\520x800\204717_1.jpg	"193,320"	"6,008"	"6,813"	"8,212"	"11,053"
100\\server2\Temp\zxs\520x800\204894_1.jpg	"608,567"	"10,767"	"12,670"	"16,039"	"23,106"
